STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
51,VA,006,51006,State Senate District 6,6352839360.8700,521807.4171810,29.31952127440,44968.58105340,282545.6891030,54.14750342750,8387266937.2500,75.74385563740,22202376932.000,28.61332992
51,VA,007,51007,State Senate District 7,167234597.8160,95235.5699599,23.17059876080,7296.05857709,45842.4493304,48.13584813920,261164674.3520,64.03415708150,576016472.646,29.03295405
51,VA,008,51008,State Senate District 8,825576845.3990,165732.6164690,37.77035160310,16210.78325260,101855.2691170,61.45758830520,1035653317.5300,79.71556035450,2956210946.240,27.92685841
51,VA,009,51009,State Senate District 9,1062675961.6000,349471.8319200,10.93417450480,18391.86097450,115559.3730380,33.06686333000,1838741028.2700,57.79367215190,5614586215.240,18.9270575
51,VA,010,51010,State Senate District 10,906551084.1380,294272.3538550,13.15536349360,16987.18387940,106733.5340070,36.27032325970,1475021213.7100,61.46020651850,2718747883.140,33.34443365
51,VA,011,51011,State Senate District 11,1712724613.4800,323439.6180460,20.57361484670,23349.03932230,146706.2168890,45.35814683910,2107712934.2300,81.25986160950,4340642913.870,39.45785561
51,VA,012,51012,State Senate District 12,573019095.4660,177304.4970690,22.90546380020,13505.47285820,84857.3169532,47.85965294510,826752007.2440,69.30967091040,1299288804.970,44.10251926
51,VA,013,51013,State Senate District 13,1036746086.0600,276072.1524940,17.09372445040,18166.08949110,114140.8101690,41.34455762300,1552328876.4900,66.78649748530,3710946725.620,27.93750929
51,VA,014,51014,State Senate District 14,2319302520.8300,465807.6584260,13.43240098990,27170.89518240,170719.6251920,36.65024009460,3508168639.9200,66.11148889590,8857160042.730,26.18562281
51,VA,015,51015,State Senate District 15,11212567737.4000,1082166.8579600,12.03167572480,59741.72892530,375368.0363490,34.68670599070,16403148132.0000,68.35619386700,45005852331.000,24.91357714
51,VA,016,51016,State Senate District 16,613139296.6790,286641.4649920,9.37757657039,13970.27074160,87777.7257182,30.62282901770,1143568575.9800,53.61631209160,2227707909.790,27.52332539
51,VA,017,51017,State Senate District 17,2767753543.3000,453004.7349960,16.94850632160,29681.71254330,186495.5426180,41.16856363980,3881295331.9800,71.31004746010,6646803064.800,41.64037232
